タスク,ゲーム中のスキル説明文,仕様指示,消費MP,ステータス,ジャンル,抽選対象イベント,備考
HelloWorld,保全性*1% ブレーク1,保全性*1% ブレーク1,0,,atk,,
論理爆弾,保全性*20% ブレーク2,保全性*20% ブレーク2,3,開始前,atk,,
FIX,保全性×50%,保全性×50%,2,開始前,atk,,
ブルートフォース,保全性×15% 3~5回攻撃,保全性×15% 3~5回攻撃,2,開始前,atk,,
ゼロデイ,保全性*10% どこに置いても行動の一番最初に割り込む ブレーク1~2,保全性*10% どこに置いても行動の一番最初に割り込む ブレーク1~2,2,開始前,atk,,
インジェクション,保全性*30% 敵の行動に挟まれていた場合、ブレーク3,保全性*30% 敵の行動に挟まれていた場合、ブレーク3,3,開始前,atk,,
レインボー攻撃,保全性*10% 7回攻撃,保全性*10% 7回攻撃,3,,atk,,
キル,保全性*100% ,保全性*100% ,4,開始前,atk,,
シルバーバレット,相手は死ぬ,保全性*100000000000000%,8,,atk,,
RAID 5,安全性*10%×5ターン ダメージ軽減,安全性*10%×5ターン ダメージ軽減,2,,def,,
MFA,安全性*50%×2ターン ダメージ軽減,安全性*50%×2ターン ダメージ軽減,4,,def,,
チェックサム,安全性*50% ダメージ軽減,安全性*50% ダメージ軽減,1,,def,,
ファイアウォール,安全性*80% ダメージ軽減,安全性*80% ダメージ軽減,2,,def,,
スプリットホライズン,安全性*100% ダメージ軽減,安全性*100% ダメージ軽減,3,,def,,
デフラグ,MP回復+2,MP回復+2,0,,heal,,
ガベージコレクション,MP回復+5,MP回復+5,0,,heal,,
リファクタリング,MP回復+10,MP回復+10,0,,heal,,
リバイズ,保守性*50%回復,保守性*50%回復,2,,heal,,
自己修復,保守性*80%回復,保守性*80%回復,3,,heal,,
ハニーポット,保守性*120%回復,保守性*120%回復,4,,heal,,
クリティカルチェーン,攻撃時に1.25倍バフ*2ターン,攻撃時に1.25倍バフ*2ターン,3,,buff,,
ゼロトラスト,自分のHPを3割削る 攻撃時に1.5倍バフ*3ターン,自分のHPを3割削る 攻撃時に1.5倍バフ*3ターン,4,,buff,,
オーバークロック,自分のHPを8割削る 攻撃時に2.0倍バフ*3ターン,自分のHPを8割削る 攻撃時に2.0倍バフ*3ターン,4,,buff,,
デプロイ,,,,没,atk,,
バックドア,,,,没,,,
ルートキット,,,,没,,,
ロールバック,,前の自分の行動をもう一度行う,,没,,,
