タスク,ゲーム中のスキル説明文,仕様指示,ジャンル,抽選HP
ファントムリード,攻撃*20% から始まり、使用される事に10%アップ,攻撃*20% から始まり、使用される事に10%アップ,攻撃系,100%~
オーバーフロー,攻撃*10% ブレーク2,攻撃*10% ブレーク2,攻撃系,100%~
デッドロック,攻撃*20% 攻撃が1ダメージ以上入った時、次のプレイヤーの行動をキャンセルする,攻撃*20% 攻撃が1ダメージ以上入った時、次のプレイヤーの行動をキャンセルする,攻撃系,70%~
次元圧縮,攻撃*100%,攻撃*100%,攻撃系,70%~
マジックナンバー,攻撃*50~90%*10,"50%,60%,70%,80%,90%の中でランダム決定",攻撃系,30%~
Division by Zero.,攻撃*60%*3回,攻撃*60%*3回,攻撃系,30%~
コールドスタンバイ,攻撃力0.8倍*2ターン,プレイヤーの攻撃力が0.8倍になる,デバフ系,70%~
RaaS,3ターン毒状態にする,安全性の値によってかかりやすいか決まる,デバフ系,100%~
デーモン,攻撃力1.25倍*3ターン,攻撃力1.25倍*3ターン,バフ系,70%~
スクレイピング,ランダムで１個スキルファイルを消す,ランダムで１個スキルファイルを消す,バフ系,30%~
トロイの木馬,プレイヤーのバフを全て消す,プレイヤーのバフを全て消す,特殊系,70%~
フルスクラッチ,次の行動順を自敵敵自にする,次の行動順を自敵敵自にする,特殊系,100%~
ルートキット,攻撃*10% 攻撃が1ダメージ以上入った時、状態異常耐性を50%下げる,攻撃*10% 攻撃が1ダメージ以上入った時、状態異常耐性を50%下げる,特殊系,70%~
カーネルパニック,全てを破壊する,攻撃*10000000%の即死技。15ターン経過ごとに一回使用。,攻撃系,全て
