タスク,ゲーム中のスキル説明文,仕様指示,消費MP,ステータス,ジャンル,抽選対象イベント,備考
HelloWorld,保全性*1% ブレーク1,保全性*1% ブレーク1,0,,攻撃系,,
論理爆弾,保全性*20% ブレーク2,保全性*20% ブレーク2,3,開始前,攻撃系,,
FIX,保全性×50%,保全性×50%,2,開始前,攻撃系,,
ブルートフォース,保全性×15% 3~5回攻撃,保全性×15% 3~5回攻撃,2,開始前,攻撃系,,
ゼロデイ,保全性*10% どこに置いても行動の一番最初に割り込む ブレーク1~2,保全性*10% どこに置いても行動の一番最初に割り込む ブレーク1~2,2,開始前,攻撃系,,
インジェクション,保全性*30% 敵の行動に挟まれていた場合、ブレーク3,保全性*30% 敵の行動に挟まれていた場合、ブレーク3,3,開始前,攻撃系,,
レインボー攻撃,保全性*10% 7回攻撃,保全性*10% 7回攻撃,3,,攻撃系,,
キル,保全性*100% ,保全性*100% ,4,開始前,攻撃系,,
シルバーバレット,相手は死ぬ　※激レア,保全性*100000000000000%,10,,攻撃系,,
RAID 5,安全性*10%×5ターン ダメージ軽減,安全性*10%×5ターン ダメージ軽減,2,,防御系,,
MFA,安全性*50%×2ターン ダメージ軽減,安全性*50%×2ターン ダメージ軽減,4,,防御系,,
チェックサム,安全性*50% ダメージ軽減,安全性*50% ダメージ軽減,1,,防御系,,
ファイアウォール,安全性*80% ダメージ軽減,安全性*80% ダメージ軽減,2,,防御系,,
スプリットホライズン,安全性*100% ダメージ軽減,安全性*100% ダメージ軽減,3,,防御系,,
デフラグ,MP回復+2,MP回復+2,0,,回復系,,
ガベージコレクション,MP回復+5,MP回復+5,0,,回復系,,
リファクタリング,MP回復+10,MP回復+10,0,,回復系,,
リバイズ,保守性*50%回復,保守性*50%回復,2,,回復系,,
自己修復,保守性*80%回復,保守性*80%回復,3,,回復系,,
ハニーポット,保守性*120%回復,保守性*120%回復,4,,回復系,,
クリティカルチェーン,攻撃時に1.25倍バフ*2ターン,攻撃時に1.25倍バフ*2ターン,3,,バフ系,,
ゼロトラスト,自分のHPを3割削る 攻撃時に1.5倍バフ*3ターン,自分のHPを3割削る 攻撃時に1.5倍バフ*3ターン,4,,バフ系,,
オーバークロック,自分のHPを8割削る 攻撃時に2.0倍バフ*3ターン,自分のHPを8割削る 攻撃時に2.0倍バフ*3ターン,4,,バフ系,,
ロールバック,前の自分の行動をもう一度行う,前の行動は前のターンの行動も参照する,5,開始前,バフ系,,
